股票代號,代號,名稱,掛牌最高,掛牌最低,資金用途,掛牌日期,資金用途分類
2034,20343,允強三,180,99.8,現金增資6億，允強三募得10億，償還銀行借款16億,2020/12/15,償還銀行借款
2034,20344,允強四,120,100,現金增資10億，允強四募得20.1億，償還銀行借款30.1億,2024/10/2,償還銀行借款
2038,20381,海光一,112,100.05,,2011/2/19,
2038,20382,海光二,109.9,89,,2011/2/20,
2059,20591,川湖一,121,90.5,,2007/1/16,
2059,20592,川湖二,210,99,,2009/11/9,
2061,20611,風青一,191,110,償還銀行借款2億,2011/8/25,償還銀行借款
2061,20612,風青二,136.9,99.7,償還銀行借款1.18億,2022/1/12,償還銀行借款
2063,20631,世鎧一,123.5,99.65,償還銀行借款3.03億,2019/8/2,償還銀行借款
2063,20632,世鎧二,117.2,98,償還銀行借款4.38億，充實營運資金2.05億,2023/11/10,償還+充實
2065,20651,世豐一,165,100.6,償還銀行借款2.35億及充實營運資金1.67億，共4.02億,2019/11/18,償還+充實
2065,20652,世豐二,134.95,99.5,償還銀行借款3億，充實營運資金3.45億,2022/3/22,償還+充實
2066,20661,世德一,250,106,充實營運資金1.8億，償還銀行借款2.6億,2021/12/8,償還+充實
2066,20662,世德二,156,95,充實營運資金3.59億，償還銀行借款0.8億,2023/7/31,償還+充實
2069,20691,運錩一,189,106.3,償還銀行借款4億，與運錩二同時發行,2016/8/8,償還銀行借款
2069,20692,運錩二,177,100.15,償還銀行借款4億，與運錩一同時發行,2016/8/9,償還銀行借款
2069,20693,運錩三,105.9,94.7,償還銀行借款6億,2018/9/6,償還銀行借款
2069,20694,運錩四,123.05,94.05,現金增資2.8億，運錩四募得3.34億，償還銀行借款6.14億,2021/11/25,償還銀行借款
2101,21011,南港一,136,99.45,,2010/1/12,
2103,21031,中橡二,245,101.5,0,,
2104,21043,國際中橡三,106.4,94.05,償還銀行借款21.5億，碳黑工廠之工程款及其相關支出6.75億，充實營運資金6.91億,2023/10/13,償還+充實
2107,21071,厚生一,188,99.9,,,
2109,21091,華豐一,145.8,100,,,
2114,21141,鑫永一,258,81.5,,2007/1/9,
2115,21151,六暉一KY,116.9,95,"現金增資1.75億，3500張/50元，六暉一募得4.02億,購置機器設備1.82，償還銀行借款4.09億，充實營運資金0.11億",2015/4/8,償還+充實
2201,22012,裕隆二,152,99.7,,2004/12/24,
2201,22013,裕隆三,118.45,94,償還銀行借款77.05億，償還 107 年度第一次國內無擔保普通公司36億,2023/5/25,償還銀行借款
2204,22043,中華三,105.3,92.55,,,
2208,22081,台船一,151,99.55,充實營運資金10.2億及償還銀行借款10.2億，共需資金20.4億,2020/2/24,償還+充實
2228,22281,劍麟一,200,102,現金增資2億，1800張/111.5元，劍麟一募得3億，償還銀行借款1.5億，充實營運資金2.57億，轉投資海外子公司0.93億,2015/5/26,償還+充實
2228,22282,劍麟二,117.45,99,充實營運資金4.16億及轉投資海外波蘭子公司2億，共需資金6.16億,2020/3/9,充實營運資金
2228,22283,劍麟三,152,106,現金增資3億，3750張/80元，劍麟三募得3.4億，償還銀行借款3.8億，充實營運資金2.6億,2024/8/29,償還+充實
2230,22301,泰茂一,112,98.5,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016/4/6,償還銀行借款
2230,22302,泰茂二,117.8,99.85,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016/4/6,償還銀行借款
2230,22303,泰茂三,107,99.15,償還銀行借款1.58億，轉投資-福興科技0.42億，泰茂一、二、三同時發行,2016/4/7,償還銀行借款
2230,22304,泰茂四,470,121.45,償還銀行借款2.34億，充實營運資金0.97億,2023/1/6,償還+充實
2231,22311,為升一,522,107,償還銀行借款1.8億，擴建廠房0.3億，購置機器設備0.47億,2013/9/30,償還銀行借款
2231,22312,為升二,158,100.6,轉投資至鴻公司4.86億，轉投資為昇科公司2.15億,2016/5/23,轉投資
2231,22313,為升三,134.3,98.6,償還銀行借款13.06億,2022/8/29,償還銀行借款
2236,22361,百達一KY,125,99.8,購置機器設備1.8億，償還銀行借款0.7億,2016/12/14,償還銀行借款
2236,22362,百達二KY,215,104,現金增資1.56億，3000張/52元，百達二募得2.07億，償還銀行借款1.25億，充實營運資金2.31億,2023/8/18,償還+充實
2239,22391,英利一KY,119.9,99.1,償還銀行借款(開曼)4.91億，購置機器設備(青島廠) 5.34億，充實營運資金3億,2017/1/10,償還+充實
2239,22392,英利二KY,108.5,96.8,購置機器設備6.37億，償還銀行借款6.89億，充實營運資金3.95億,2018/6/22,償還+充實
2239,22393,英利三KY,130,99.5,償還銀行借款5.01億,2021/10/19,償還銀行借款
2243,22431,宏旭一KY,134,80.6,償還銀行借款2.23億，充實營運資金1.76億,2018/11/30,償還+充實
2250,22501,IKKA一KY,185,100.2,現金增資1.09億，1820張/60元，IKKA一募得2.5億，償還銀行借款3.03億，充實營運資金0.6億,2024/3/4,償還+充實
2313,23131,華通一,117,112,,,
2313,23132,華通二    ,165,99,,,
2313,23133,華通三    ,179,96.5,,,
2314,23141,台揚一,116,82,,,
2314,23142,台揚二,153,104,現金增資2.6億，台揚二募得4億，償還借款6.61億,2016/10/31,償還銀行借款
2317,23171,鴻海一,113.5,94.5,,2006/10/31,
2332,23323,友訊三,108.8,93.1,,2010/1/2,
2333,23331,碧悠一,113.5,98.5,,,
2337,23371,旺宏一,184,87,,,
2337,23372,旺宏二,183,87,償還銀行借款30.3億，發行CB2共30000張,2025/3/24,借新還舊
2338,23382,光罩二,117.5,97.9,,,
2338,23383,光罩三,132.5,92.7,購置機器設備20.4億，充實營運資金2.64億,2021/8/3,充實營運資金
2340,23401,光磊二,154,71.2,,,
2347,23471,聯強一,149.9,79,,2008/6/14,
2347,23472,聯強二,104.8,97,,2011/1/4,
2348,23481,海悅一,208,109,償還銀行借款3.5億，充實營運資金1.5億,2019/7/16,償還+充實
2351,23511,順德一,137.95,102.2,償還銀行借款12億，發行CB1共12000張競拍,2025/6/17,借新還舊
2352,23521,明碁一,100,99,,,
2353,23532,宏碁二,105,92.55,充實營運資金 60億,2013/5/14,充實營運資金
2354,23541,鴻準一,114.1,81.75,,2007/10/22,
2355,23551,敬鵬一,156,100,,,
2357,23571,華碩一,120.5,94.4,,2006/10/28,
2358,23581,廷鑫一,118.5,96.35,現金增資2.16億，償還前次公司債3.02億，償還金融機構借款2.22億,2022/9/28,借新還舊
2360,23601,致茂一,100,99.5,,,
2360,23602,致茂二,309,100,興建廠房21.8億,2014/5/23,資本支出
2365,23651,昆盈一,117.5,97,,2010/4/12,
2365,23652,昆盈二,115.2,99.9,,2010/4/13,
2367,23671,燿華一,253,105,購買機器設備7億，償還銀行借款5億，與燿華二同時發行,2016/7/6,償還銀行借款
2367,23672,燿華二,263,104.05,購買機器設備7億，償還銀行借款5億，與燿華一同時發行,2016/7/7,償還銀行借款
2368,23681,金像電一,153,104,,,
2368,23682,金像電二,323,99.5,償還銀行借款31.1億，充實營運資金11.76億,2023/12/5,償還+充實
2369,23691,菱生一,177,91.3,,,
2369,23692,菱生二,187,79.65,,2007/9/22,
2371,23711,大同一,161,92.5,,,
2371,23712,大同二,122.35,87.15,,2007/11/30,
2374,23741,佳能一,109.6,98.1,,2010/1/27,
2377,23772,微星二,110,71,,2009/4/15,
2379,23791,瑞昱一,146,126,,,
2383,23831,台光電一,280,66.1,,,
2383,23832,台光電二,214,80,,2006/9/15,
2383,23833,台光電三,246,100,,2010/6/12,
2383,23834,台光電四,166,100.4,償還銀行借款12.25億，充實營運資金2.75億,2017/5/16,償還+充實
2383,23835,台光電五,388,97,不動產及廠房21.6億，償還銀行借款 13.4億,2022/4/25,償還銀行借款
2383,23836,台光電六,230,101.75,償還銀行借款12億，充實營運資金5.04億，與台光電七同時發行,2024/9/25,償還+充實
2383,23837,台光電七,224,105,償還銀行借款12億，充實營運資金5.04億，與台光電六同時發行,2024/10/9,償還+充實
2384,23841,勝華一,133,113.5,,,
2385,23851,群光一,169,83,,,
2388,23881,威盛一,122,103.8,,,
2389,23891,世昕一,115,92.5,,,
2390,23901,云辰一,109.1,108.4,,,
2392,23921,正崴一,110.1,92.05,,2006/9/28,
2393,23932,億光二,169,93,0,2006/10/6,
2393,23933,億光三,130.45,79.25,,2007/12/4,
2393,23934,億光四,120.7,101.3,,2009/11/25,
2393,23935,億光五,120.1,97.9,償還銀行借款40.2億,2013/12/20,償還銀行借款
2393,23936,億光六,101.2,95,購置廠辦大樓16億，購買機器設備15億，充實營運資金19.25億,2015/5/18,充實營運資金
2395,23952,研華二,274,104,購置倉儲中心15.11億，倉儲中心裝潢0.7億,2011/5/26,資本支出
2398,23981,博達一,112.9,88.2,,,
2402,24021,毅嘉一,188,130,,,
2402,24022,毅嘉二,106.45,94.2,償還銀行借款5.53億，償還銀行借款14.47億,2014/9/2,償還銀行借款
2406,24061,國碩一,123,98.55,,2011/2/6,
2406,24062,國碩二,184,100,充實營運資金4.5億,2012/8/3,充實營運資金
2406,24063,國碩三,183,100.15,償還銀行借款4.15億，充實營運資金3.85億,2015/8/10,償還+充實
2406,24064,國碩四,113.6,101.5,償還銀行借款 12億,2017/6/21,償還銀行借款
2407,24071,陞技一,127.4,61.55,,,
2408,24081,南科一,109.5,97,,,
2409,24091,友達一,316,216,,,
2409,24092,友達二,112.5,95.75,,,
2409,24093,友達三,167,85,,2005/7/8,
2413,24131,環科一,124.4,109.5,,,
2414,24141,精技一,184,82,,,
2415,24151,錩新一,122.4,86.3,,,
2417,24172,圓剛二,229,99,,,
2418,24182,雅新二,258,206,,,
2418,24183,雅新三,214,146,,,
2419,24191,仲琦一,120,102.5,,,
2419,24192,仲琦二,165,105,充實營運資金2億，償還銀行借款4.5億，,2012/1/18,償還+充實
2419,24193,仲琦三,152,99.05,充實營運資金3.19億，償還銀行借款1.8億，,2013/1/31,償還+充實
2419,24194,仲琦四,134.2,105,充實營運資金5億,2016/6/15,充實營運資金
2421,24212,建準二,155,99.5,,,
2421,24213,建準三,289,127.05,償還銀行借款12億，充實營運資金1.86億,2023/5/24,償還+充實
2424,24241,隴華一,185,107,,,
2426,24261,鼎元一,147.95,108,,,
2426,24262,鼎元二,206,107,,,
2426,24263,鼎元三,207,103.1,,,
2426,24264,鼎元四,197,102.5,,,
