id,type,date,company,code,source,category,importance,content,tags,importance_num,related_companies
23,個股報導,2025/03/19,聯發科,2454,美系大行,TopPick轉換/升目標,⭐⭐⭐⭐⭐,"• 美系大行的TOP Pick從世芯轉為聯發科，預估聯發科25-27年EPS為$81.4/$116/$138，以明年16xPE評價，同步升目標。
• 券商認為Google 3nm TPU V7即將與發哥合作，緊接著還會跟博通分2nm TPU V8。預期明年下半年就會看到21億美金的貢獻。
• 另外與Nvidia合作的GB10，量上修到1m，每顆權利金50美元，淨利35-45美金。預估也是26年開始貢獻，預期初期能佔集團營收比2%。
• 最後看到中國手機市場即將迎來換機潮，年底發表D9500。",#TopPick #TPU #GB10,5,
24,個股報導,2025/03/19,GTC,-,美系大行,GTC重點,⭐⭐⭐⭐⭐,"• 美系大行認為三個重點，GB300, CPO, GB10:

GB300: Cordelia module，結合兩Bianca boards在一起，每個Cordelia有4個B300 GPU+ 2個Grace CPU，這樣做比較省空間。另外也要發表NVL144，預期3Q底GB300開始放量。

CPO: 上詮跟日月光將會取代既有的供應鏈。

Rubin GPU: 5月在台積電tape out。",#GTC #GB300 #CPO #GB10,5,
25,個股報導,2025/03/20,聯亞光,3081,美系大行,重申正面,⭐⭐⭐⭐,"• 美系大行重申今明年$5.8/$8.4，矽光仍是今年的主力。
• 出了既有美國ISP客戶外，下半年還有新CSP客戶。
• 再來也是呼應前一篇另家券商提到的CPO。
• 券商預估datacom相關營收今年貢獻超過5成。
• 今年還要再擴產，預估毛利率走揚。",#矽光 #datacom,4,
26,個股報導,2025/03/20,萬潤,6187,美系大行,重申正面,⭐⭐⭐⭐,"• 美系大行觀察今年至少有10-20個專案在走。
• 出了最新CPO外，預估台積電CoWoS 70-80kpm符合預期，SoIC今年增至6k from 3k，也是符合預期。
• 最後FoPLP，提供dispenser tools，但還沒到量產。
• 券商重申今明年EPS: $24.7/$16.4，維持正面評價不變。",#CoWoS #SoIC #FoPLP,4,
27,個股報導,2025/03/20,Nvidia CPO,-,美系券商,產業趨勢,⭐⭐⭐⭐⭐,"• 今年下半年推出的是Ethernet規格的Spectrum-X，明年下半年推出的是InfiniBand的Quantum-X。
• switch會有18個ESL(External laser source)每個ESL有8個laser。
• 美系券商認為會帶動laser chip及laser InP需求上升，對3081聯亞光、2455全新正面解讀。
• 此外，券商認為該switch上還有其他台廠，如cold plate有3017奇鋐、3324雙鴻，Fiber array connector有3363上詮、3163波若威。",#CPO #laser #ESL,5,
28,個股報導,2025/03/24,雙鴻,3324,美系券商,重申正面,⭐⭐⭐⭐,"• 美系券商預估今年水冷佔營收比來到43%，優於去年的14%。
• 全年毛利率預估超過35%，尤其水冷在泰國持續擴產。
• 而另一成長亮點是顯卡，今年是新世代Blackwell的轉換。
• 最後，券商預估25-27年EPS:$34.4/$52.4/$59，維持26xPE評價，評等正向。",#水冷 #Blackwell,4,
29,個股報導,2025/03/24,晶心科,6533,美系大行,維持正面,⭐⭐⭐⭐,"• 美系大行認為過去8年營收成長CAGR是28%，預期接下來幾年會比這數字高。
• 其中DeepSeek改變生態，現以訴求小模型為主，客戶也在改變原有設計架構。
• 目前AI佔營收比已來到近4成，券商看好RISC-V接下來發展，重申正面評價不變。",#RISC-V #DeepSeek,4,
30,個股報導,2025/03/24,Nike財報,-,美系券商,產業趨勢,⭐⭐⭐,"• FY3Q25 inline，但FY4Q25營收/毛利率都guide down。
• 美系券商認為該品牌要反轉還需尚待時間，尤其目前還在庫存管理階段，預計要到FY1H26。
• 所以認為現在訂單能見度仍偏低。
• 券商現在喜歡非Nike供應鏈的6890來億。",#Nike #來億,3,
31,個股報導,2025/03/25,AI server,-,美系券商,產業趨勢/下修,⭐⭐⭐⭐,"• 一家美系券商今下修AI server rack今明年出貨量達35%/10%。
• 是故券商下修覆蓋裡的個股獲利及目標，名單有台達電、台光電、台燿、聯茂、金像電、嘉澤等。",#下修 #AI機櫃,4,
32,個股報導,2025/03/25,家登,3680,美系券商,重申正面,⭐⭐⭐⭐,"• 儘管1-2月份營收年減9%，但美系大行觀察將於EUV Pod 3月開始集中出貨，預估1Q營收季增5-10%。
• 全年營收預估年增4成，毛利率47%。
• 下半年FOSB開始出中國，另預期FOUP在中國會有5成市佔率，第三季FOUP也會開始出韓國。
• 另日本廠持續擴產，預估每月產能有12k。
• 總的而言，券商看好家登的EUV pod, wafer carrier還有航太未來發展。
• 預估25-27年EPS$19.7/$27.3/$30.4，以明年28xPE評價，評等正向。",#EUV #FOSB #FOUP,4,
33,個股報導,2025/03/25,中國CSP,-,美系大行,產業趨勢,⭐⭐⭐⭐⭐,"• 美系大行觀察中國CSP業者去年資本支出年增165%高於美國的52%，預估今年還會再增30%。
• 其中AI相關的資本支出今年增48%，明年再增50%。
• 券商認為相關受益的台廠有：信驊、祥碩、緯創、川湖、貿聯等。",#中國CSP #AI #Capex,5,
34,個股報導,2025/03/26,聯發科,2454,美系大行,重申正面,⭐⭐⭐⭐⭐,"• 美系大行原先擔心中國手機動能在2Q25會稍減(因為已經強了兩個季度了)。
• 但現在觀察因補貼是人民幣6000元以上機種，加上潛在市佔率提升，所以今預估2Q營收有望做到季持平，優於預期。
• 另一面，與Nvidia擴大合作到ASIC領域，尤其聯發科擁有完整IP庫，券商認為的確會提高CSP的評估興趣。
• 同也會用新的SerDes IP portfolio提供客製化networking I/O die design service。
• 再來GB10，華碩，聯想, Dell, HP等品牌業者將發表DGX Spark，預估今年會有1m的量。
• 最後，Google TPU v8e已拿到。
• 總而言之，目前僅交易在明年EPS的13x，聯發科現在是美系大行的首選(Top Pick)。",#中國手機 #ASIC #GB10,5,
35,個股報導,2025/03/27,台積電,2330,美系大行,重申正面,⭐⭐⭐⭐⭐,"• 美系大行認為股價行為將在三件事情確認後，會有正向反應。
• 首先先看基本面：券商調升Nvidia今年的CoWoS需求到465k，年增133%，所以維持台積電CoWoS今明年成長的觀察。
• 第二，關於關稅，券商認為不管怎樣，台積電最終都會轉嫁到客戶身上。
• 最後，關於Intel的JV，券商認為4/17的法說會至關重要。
• 券商維持預估今明年EPS $61.2/$76.9，目前僅交易在明年13xPE，維持正向評等不變。",#CoWoS #Nvidia #IntelJV,5,
36,個股報導,2025/03/28,貿聯,3665,美系大行,重申正向,⭐⭐⭐⭐,"• 美系大行看好主動式乙太網路纜線(Active Electrical Cables, AEC)在AI server上的接下來的普及應用，主要由美商Credo推動，而貿聯是Credo的合作夥伴。
• 券商樂觀預估AEC在貿聯24-26年的營收CAGR是115%，今年貢獻營收達56億台幣。
• 除了AEC, power whips, rack busbars, inner busbars, inner cables也是成長動能，相關產品在半導體設備領域也是大有斬獲。
• 券商預估今明年EPS:$39.8/$47.8，目前僅交易在今年15xPE，評等維持正向不變。",#AEC #AI伺服器 #Credo,4,
37,個股報導,2025/03/31,上詮,3363,美系大行,降目標,⭐⭐⭐⭐,"• 美系大行觀察Nvidia的CPO with XPU solution要27年下半年才會放量，採用的是Rubin Ultra。而之後的Feynman會改用OIO。
• 至於上詮的CPO明年先有Quantum switch，緊接著才是Rubin ultra。
• 由於認為此scale-up CPO有點delay，券商下修上詮明年EPS從$13.9到$3.6，下修後年至$27，以後年19xPE評價，同步下修目標。",#CPO #XPU #Rubin,4,
38,個股報導,2025/03/31,緯創,2331,美系大行,EPS上修,⭐⭐⭐⭐⭐,"• 美系大行上修今明年EPS至$9.4/$12.1。
• 券商觀察到緯創拿到更多北美Blackwell system level的訂單。
• 2Q有1.5k rack大於1Q的300 rack。",#Blackwell #AI伺服器 #機櫃,5,
39,個股報導,2025/04/01,信驊,5274,美系大行,降目標,⭐⭐⭐⭐,"• 美系大行認為因中國一般型server在1Q強勁，使信驊1Q營收有機會高於市場預期，但預估2Q營收持平到小衰退，低於預期。毛利率65-66.5%。
• 另外，券商認為BMC在AI server的量有更動，如原先預估在GB300 NVL72是81-84個，今實際上是71個。在ASIC server也僅22個。
• 券商下調今明年EPS至$81/$104.4，預估27年$107，以今年37xPE評價，同步降目標。",#BMC #GB300 #ASIC,4,
40,個股報導,2025/04/01,聯詠,3034,美系券商,新TopPick,⭐⭐⭐⭐⭐,"• 美系券商Top Pick原先是祥碩(5269)，今改為聯詠。
• 原因為：LCD DDI供需健康，庫存水位健康，預估1Q在TV/IT面板報價都會漲1%。
• OLED DDI市占率持續上升中。
• 而成本上也控制得宜。
• 綜上，維持正面評價不變。",#DDI #OLED #面板,5,
41,個股報導,2025/04/02,聯電,2303,美系券商,維持中性,⭐⭐⭐,"• 美系券商認為若與GF合併，synergies有限，因為兩家公司專注的市場一樣，製程也都是在成熟製程。
• 也有來自同業的競價壓力。
• 券商維持中性評價不變。",#GF #併購 #成熟製程,3,
42,個股報導,2025/04/09,PC Semi,-,美系大行,產業趨勢/評等調整,⭐⭐⭐⭐,"• 美系大行認為PC不管在消費性或企業用戶都將面臨逆風。
• 尤其「對等」關稅政策對消費性影響巨大。
• 券商降評祥碩、義隆電到EW，維持瑞昱、譜瑞UW，並降譜瑞目標。",#PC #關稅 #祥碩 #義隆電,4,
43,個股報導,2025/04/09,緯穎,6669,美系大行,重申正面,⭐⭐⭐⭐⭐,"• 三月營收大幅優於美系大行預估數，總體而言1Q優於券商預估數3成。
• 一般性+ASIC server拉貨動能強勁。
• 展望2Q，券商預估ASIC server持續季增，但預估一般型下降，因為上季提早拉貨所致。
• 儘管如此，券商維持正面評價不變。",#ASIC #AI伺服器,5,
44,個股報導,2025/04/10,上詮,3363,美系大行,重申正面,⭐⭐⭐⭐,"• 三月營收優於美系大行預期。
• 券商觀察動能延續到2Q，還有新的美系客戶來接觸，關於XPU相關。
• 券商認為來自關稅的議題可控，維持正面評價。",#XPU #關稅,4,
45,個股報導,2025/04/10,台達電,2308,美系券商,重申正面,⭐⭐⭐⭐⭐,"• 3月營收歷史新高，推升1Q營收季增4%、年增3成，也是來到歷史新高。
• 回顧1Q，車用、Infra表現不錯。
• 展望2Q，券商觀察訂單能見度依舊強勁，尤其來自伺服器相關的水冷及power。
• 券商預估2Q季增6%、年增2成，維持正面評價不變。",#水冷 #電源 #伺服器,5,
46,個股報導,2025/04/11,大立光,3008,美系券商,法說會/維持正面,⭐⭐⭐⭐,"• 召開法說會，美系券商會後對25-27年EPS未作大更動，維持$187.5/$200/$210.4，評價正面。
• 1Q result 優於預期，尤其毛利率提升至54.6%，優於預期。
• 2Q是美系手機新舊機種轉換期，但券商觀察在中系手機大有斬獲：3月華為的摺疊機、4月Vivo X200 Ultra、5月華為的Pura 80。
• 下半年人型機器人量產。
• 公司認為關稅沒影響。券商認為2022 iPhone也是因為關稅、匯率漲價，當年雖然出貨量下降4%，但由於ASP提升，當年台廠相關供應鏈營收表現靚。",#法說會 #毛利率 #中系手機 #機器人,4,
47,個股報導,2025/04/11,南亞科,2408,美系大行,法說會/維持UW,⭐⭐⭐,"• 召開法說，管理層上修今年出貨量從年增2成提高到3成。
• DDR5預期到年底佔營收比能達2成。
• 1Q result 符合美系大行預期，但券商以競價為由，加上擔心消費性產品需求受關稅影響，維持UW評價不變。",#法說會 #DDR5 #出貨量,3,
48,個股報導,2025/04/11,Nvidia H20,-,美系大行,產業趨勢,⭐⭐⭐⭐⭐,"• 據媒體報導H20有望解禁，美系大行認為對台廠如京元電正面解讀。
• 預期有500k的H20，於第二季在京元電測試。
• 全年券商先抓2m H20的量。",#H20 #解禁 #測試,5,
49,個股報導,2025/04/14,台積電,2330,美系大行,降目標/法說前瞻,⭐⭐⭐⭐⭐,"• 本週四即將舉辦法說會，美系大行在週末先降獲利預估及目標，最新25-27年EPS為$58.7/$72.9/$81.6。
• 預期1Q毛利率受地震影響1%，預估為58.5%。
• 預估2Q營收季增3-5%(原先為季持平)，因為把1Q受地震影響的4nm補回來。
• 全年營收暫維持20%年增率，但券商認為台積電有可能加大調整高低標的區間，反應關稅議題帶來的不確定性。
• 關於與Intel的JV案，券商希望週四法說會能解釋清楚，因為這會負面影響台積電長期獲利能力與領先地位。
• 評等維持正向不變。",#法說會 #地震影響 #IntelJV,5,
50,個股報導,2025/04/14,GB300設計,-,美系大行,產業趨勢,⭐⭐⭐⭐,"• 美系大行觀察Cordelia board可能會變回Bianca。
• 券商認為若改過去，對GPU socket, SOCAMM for memory是負面解讀。
• 對CCL業者台光電及HDI業者欣興則是正面解讀。",#GB300 #Cordelia #Bianca,4,
51,個股報導,2025/04/15,蘋果供應鏈,-,美系大行,產業趨勢,⭐⭐⭐⭐⭐,"• 為因應關稅的不確定性，美系大行觀察蘋果有上修2Q iPhone, iPad的出貨量，但券商強調這跟需求無關。
• 上修2Q的iPhone到45mn(季減10%、年增15%)。
• 上修2Q的iPad到13mn(季增8%、年增24%)。",#iPhone #iPad #關稅,5,
52,個股報導,2025/04/15,CSP Capex,-,美系大行,產業趨勢,⭐⭐⭐⭐⭐,"• 美系大行認為去年4Q見頂，現在狀況跟2018年有點即視感。
• 接下來五大觀察何時轉正面：
1) Capex衰退通常持續2-4季，谷底通常發生在年增率持平到衰退時。
2) 供應鏈上如果有重大調整且被市場充分知悉，通常也是谷底。
3) 已經有部分CSP在支出上轉保守，但有些還沒，谷底發生在大家都轉保守。
4) 企業獲利修正，市場瀰漫諸多空方言論。
5) 總經穩定：關稅。
• 綜上，券商目前對中國CSP Capex較樂觀。",#CSP #Capex #資料中心,5,
53,個股報導,2025/04/16,ABF三雄,-,美系大行,升評,⭐⭐⭐⭐⭐,"• 美系大行自2022年高點開始降評，經過三年，今終於將三雄裡的欣興(3027)、景碩(3189)升評至EW，唯南電(8046)仍維持UW。
• 儘管短期內未見報價開始回漲，但券商認為已至谷底。
• 券商觀察供過於求的狀況逐步收窄，預計到2027年取得平衡。
• 回到個股上，欣興目前交易在1.2xPB，但因有AI加持，所以券商願意升評。
• 景碩目前0.8xPB，低於平均的0.9x。",#ABF #欣興 #景碩,5,
54,個股報導,2025/04/16,亞德客,1590,美系大行,升評,⭐⭐⭐⭐,"• 儘管營業重心在中國，且美系大行降25-26年EPS至$39.6/$44，但相信性價比優於日本、歐洲同業。
• 預期electronics部位今年有26%的成長。
• 同時相信automobiles有望取得更多市占率。
• 樂觀預期其他產品線今年同步增長。
• 據此，券商上調評等至OW。以今年25xPE評價。",#氣動 #汽車,4,
55,個股報導,2025/04/17,台積電,2330,美系大行,法說前瞻/情境分析,⭐⭐⭐⭐⭐,"• 下午法說，美系大行做了三種情境分析：

情境1(發生機率60%)：
- 預期2Q營收季增3~5%
- AI需求：健康但有些波動
- 與Intel JV: 興趣低，且原因正當(維護股東與客戶利益)

情境2(發生機率25%)：
- 2Q營收季增超過5%
- AI需求：需求仍強勁難以滿足
- 與Intel合資的可能性：不會進行

情境3(發生機率15%)：
- 2Q營收季持平或下降
- AI需求：已被增加的供應滿足
- 與Intel合資的可能性：需要考慮進行此合作",#法說會 #情境分析,5,
56,個股報導,2025/04/22,AI供應鏈,-,美系大行,產業趨勢,⭐⭐⭐⭐⭐,"• 儘管H20目前暫時出不了，需等到美國政府核可，不過美系大行認為unused wafer capacity可以改成H200，如果市場需求還在的話。
• 但就算H20獲得許可，下半年還是會遇到華為昇騰920晶片+Matrix 384伺服器的競爭。
• 另外GB300改回Bianca雖有助於良率提升，不過券商觀察除非NVL72伺服器在2025年的出貨量能達到3萬台(相當於超過200萬顆Blackwell晶片的使用量)，否則台積電所生產的大量Blackwell晶片將在2025年底轉為庫存。
• 最後，券商列出接下來幾點重要觀察：
1. CSP大廠接下的法說會及Capex。
2. 台積電對於明年的CoWoS分配。
3. AI GPU及顯卡的現貨價變動。
4. 5月出爐的最新晶片關稅。
5. 關稅如何影響伺服器生產成本。",#H20 #GB300 #Blackwell,5,
57,個股報導,2025/04/23,力積電,6770,美系券商,降目標/維持中性,⭐⭐⭐,"• 儘管近期8吋需求佳(PMIC, DDI)，可以抵銷memory的疲態。
• 券商雖調高今年EPS至-0.2 from -0.54，但調降明年至-0.24 from -0.07。
• WoW近期有虛擬幣需求，冀望明年放量。
• 券商評等維持中性看待。",#8吋 #PMIC #DDI,3,
58,個股報導,2025/04/23,全球手機,-,美系券商,產業趨勢/下修,⭐⭐⭐⭐,"• 美系券商下修25-27年全球手機出貨量。
• 更新今年年增幅為0、明年+1%、後年+1%。
• 產值：今年+2%、明年+4%、後年+3%。",#手機 #出貨量,4,
59,個股報導,2025/04/24,PC/NB產業,-,美系大行,產業趨勢/評等調整,⭐⭐⭐⭐,"• 美系大行一次調降華碩、仁寶、宏碁、鴻準的評等至EW或UW。
• 維持技嘉、嘉澤OW。
• 券商對PC轉趨保守，雖然在關稅生效前90天暫緩期內看到廠商都在積極出貨。
• 券商微增2Q的出貨量，但下修全年3%的預估量。",#PC #NB #關稅,4,
60,個股報導,2025/04/24,聯電,2303,美系券商,法說會/看法分歧,⭐⭐⭐⭐,"• 召開法說會，兩家美系券商看法各異。
• 相同點都是肯定2Q展望優於預期。
• 持較中性看法的一家美系認為是rush order。
• 持正面看法的另家美系認為UTR上來反應庫存水位健康，還有產品升級。
• 短期有6%股息殖利率保護。
• 長期有FinFET在27年的營收貢獻可能性。",#法說會 #UTR #FinFET,4,
61,個股報導,2025/04/24,資料中心產業,-,美系大行,下修目標/產業趨勢,⭐⭐⭐⭐⭐,"• 美系大行調降緯創、緯穎、廣達、台達電、光寶科、奇鋐、雙鴻、建準、金像電等目標。
• 券商觀察到GB200 ramp up趨緩，不過還是認為AI伺服器是有成長的(今年+3%，明年6%)。
• 預估總體伺服器出貨量今年是0成長，明年成長4%。
• 企業獲利部分，下修今年4%，明年8%。
• 券商認為ODM會吸收潛在關稅成本。",#資料中心 #GB200,5,
62,個股報導,2025/04/24,蘋果供應鏈,-,美系大行,下修目標,⭐⭐⭐⭐⭐,"• 美系大行下修鴻海、和碩、大立光、全新等的目標。
• 下修玉晶光評等至EW。
• 券商下修今年出貨量到0成長，下修明年出貨量至4%。
• 產地搬遷需要時間，還會墊高生產成本。",#蘋果 #產地搬遷,5,
63,個股報導,2025/04/25,記憶體產業,-,美系大行,產業趨勢,⭐⭐⭐⭐,"• 美系大行認為2Q提早拉貨現象有望拉抬DDR4報價從季增0-5%升至3-8%，但認為可能會造成下半年復甦疲弱。
• NAND的部分，券商認為報價有望持續走揚到3Q，認為關稅議題影響群聯有限。
• 券商對華邦電、群聯維持正面評價不變。",#記憶體 #DDR4 #NAND,4,
64,個股報導,2025/04/25,散熱產業,-,美系大行,產業趨勢,⭐⭐⭐⭐,"• 儘管Vertiv展望2Q營收年增2成，但美系大行認為相較於上個月談話，公司對於下半年展望轉「unclear」。
• 不過回到台廠，券商認為產品都是出到ODM在美國境外的hub，對於關稅議題影響有限。
• 重申對台達電、奇鋐的正面評價不變。",#散熱 #Vertiv,4,
65,個股報導,2025/04/25,元太,8069,美系大行,重申正面,⭐⭐⭐,"• 美系大行從Pricer財報解讀，近期關稅的動盪的確影響ESL在部分中小零售商拉貨意願。
• 消費性產品e-reader對於關稅議題也是相當敏感。
• 不過，券商重申中長期的大趨勢不變，維持元太正向觀察不變。",#ESL #電子紙,3,
