丁,秨絃基,程蔼基,程基,Μ絃基,Θユ秖,MA5,MA10,DIF12-26,MACD9,OSC,磕戈(じ),畉肂(じ),禦秈(じ),芥(じ),瞷纕(眎),ㄏノ瞯,磕ㄩ(眎),畉肂(眎),禦秈(眎),芥(眎),ㄩ纕(眎),ㄏノ瞯,ㄩ緇肂(眎),畉肂(眎),ㄩ(眎),临ㄩ(眎),讽≧眎计,讽≧瞯,戈ㄩが╄(眎),瞷讽≧(眎),讽≧ゑ瞯,禦秈,芥,禦芥禬(じ),戈仓璸禦芥禬(じ),禦秈(じ),芥(じ),戈ゑㄒ,禦芥禬(じ),щ獺仓璸禦芥禬(じ),禦秈(じ),芥(じ),щ獺ゑㄒ,禦芥禬(じ),犁坝仓璸禦芥禬(じ),禦秈(じ),芥(じ),犁坝ゑㄒ,禦芥禬(じ),猭仓璸禦芥禬(じ),禦秈(じ),芥(じ),猭ゑㄒ,禦芥畉,禦秈,芥
2000/1/20,9175.27,9211.34,9077.7,9136.95,1378.49,1717.62,2132.47,329.41,320.14,9.27,5108货,31.4货,284货,250货,1.63窾,N/A,53.1窾,-1.38窾,5.68窾,4.62窾,2062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9货,3643货,45.6货,29.7货,N/A,-14.7货,-473货,34.2货,49.0货,N/A,2.81货,225货,34.1货,31.3货,N/A,4.02货,3359货,114货,110货,N/A,N/A,N/A,N/A
2000/1/21,9170.41,9305.27,9170.41,9255.94,1849.55,1720.33,2072.98,321.99,320.51,1.48,5148货,40.1货,381货,338货,1.39窾,N/A,54.8窾,1.67窾,3.83窾,5.89窾,1617,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.3货,3685货,65.6货,24.3货,N/A,3.52货,-470货,62.7货,59.2货,N/A,18.3货,243货,49.4货,31.1货,N/A,63.1货,3422货,178货,115货,N/A,N/A,N/A,N/A
2000/1/24,9327.98,9425.87,9327.98,9387.07,1959.48,1712.56,1942.46,323.29,321.07,2.22,5202货,53.9货,418货,363货,1.15窾,N/A,55.7窾,8498,4.04窾,5.18窾,1337,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.2货,3717货,71.6货,39.4货,N/A,-19.4货,-489货,41.3货,60.6货,N/A,12.3货,256货,47.4货,35.1货,N/A,25.2货,3448货,160货,135货,N/A,N/A,N/A,N/A
2000/1/25,9411.1,9413.21,9308.01,9372.37,1647.44,1695.11,1870.5,319.39,320.73,-1.34,5217货,14.7货,336货,319货,1.26窾,N/A,56.8窾,1.13窾,4.46窾,5.75窾,1872,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.3货,3758货,68.4货,27.1货,N/A,-25.3货,-515货,42.5货,67.8货,N/A,4.16货,260货,31.9货,27.8货,N/A,20.2货,3468货,143货,123货,N/A,N/A,N/A,N/A
2000/1/26,9469.74,9617.32,9469.74,9581.96,2206.6,1808.31,1831.53,328.34,322.25,6.09,5261货,44.4货,450货,403货,1.39窾,N/A,57.9窾,1.08窾,4.56窾,5.95窾,1803,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.3货,3828货,93.4货,23.1货,N/A,-14.8货,-529货,34.8货,49.7货,N/A,2.18货,262货,54.8货,52.7货,N/A,57.7货,3525货,183货,125货,N/A,N/A,N/A,N/A
2000/1/27,9639.86,9733.26,9618.3,9628.98,2053.86,1943.39,1830.5,338.77,325.56,13.21,5280货,19.2货,403货,382货,1.96窾,N/A,59.7窾,1.86窾,4.89窾,7.34窾,2581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.7货,3850货,85.3货,63.6货,N/A,-16.4货,-546货,48.9货,65.2货,N/A,-7439窾,261货,38.0货,38.8货,N/A,4.56货,3530货,172货,168货,N/A,N/A,N/A,N/A
2000/1/28,9600.45,9753.72,9600.45,9696.91,2059.55,1985.39,1852.86,345.84,329.61,16.23,5305货,24.7货,408货,380货,1.67窾,N/A,57.4窾,-2.35窾,8.00窾,6.04窾,2894,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.1货,3883货,88.6货,55.5货,N/A,-16.6货,-562货,44.3货,61.0货,N/A,-8.92货,252货,41.7货,50.6货,N/A,7.58货,3538货,175货,167货,N/A,N/A,N/A,N/A
2000/1/29,9618.78,9677.55,9585.82,9636.38,1463.55,1886.2,1799.38,343.21,332.33,10.88,5318货,12.6货,290货,273货,1.87窾,N/A,52.7窾,-4.72窾,6.18窾,4.01窾,4008,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-14.9货,3868货,22.8货,37.8货,N/A,-24.2货,-587货,29.1货,53.2货,N/A,-9.63货,243货,24.9货,34.5货,N/A,-48.8货,3489货,76.8货,126货,N/A,N/A,N/A,N/A
2000/1/31,9653.24,9749.51,9613.8,9744.89,1529.36,1862.59,1778.85,343.56,334.58,8.99,5334货,16.5货,298货,278货,2.41窾,N/A,53.0窾,3189,4.26窾,4.16窾,1.10窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.9货,3881货,87.4货,74.5货,N/A,6.27货,-580货,39.4货,33.2货,N/A,2067窾,243货,33.6货,33.3货,N/A,19.4货,3508货,160货,141货,N/A,N/A,N/A,N/A
2000/2/1,9829.68,9901.8,9800.63,9856.39,2002.29,1821.72,1815.02,351.14,337.89,13.24,5316货,-18.5货,364货,371货,5.44窾,N/A,51.4窾,-1.61窾,4.42窾,3.50窾,6858,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.5货,3897货,81.0货,65.5货,N/A,-9.75货,-590货,59.1货,68.9货,N/A,16.6货,260货,46.1货,29.5货,N/A,22.3货,3531货,186货,164货,N/A,N/A,N/A,N/A
2000/2/9,10039.67,10137.24,9932.07,10008.88,2311.5,1873.25,1908.32,366.46,343.61,22.86,5346货,30.7货,433货,389货,1.80窾,N/A,51.8窾,4010,3.46窾,4.10窾,1862,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123货,4020货,248货,125货,N/A,3.52货,-587货,81.2货,77.7货,N/A,17.8货,277货,52.2货,34.4货,N/A,144货,3675货,381货,237货,N/A,N/A,N/A,N/A
2000/2/10,10008.38,10098.3,9957.66,10057.67,2153.73,1892.09,1938.74,375.98,350.08,25.9,5382货,35.7货,422货,384货,9748,N/A,53.3窾,1.53窾,4.50窾,6.77窾,4293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76.7货,4096货,145货,67.9货,N/A,-7.61货,-594货,72.9货,80.5货,N/A,-10.5货,267货,36.5货,47.1货,N/A,58.5货,3733货,254货,195货,N/A,N/A,N/A,N/A
2000/2/11,10125.51,10227.33,10096.54,10128.67,2536.25,2106.63,1996.41,387.32,357.53,29.79,5448货,65.8货,497货,430货,1.66窾,N/A,55.0窾,1.73窾,5.51窾,7.51窾,1892,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,111货,4207货,179货,67.8货,N/A,-13.5货,-608货,68.0货,81.5货,N/A,-7.00货,260货,40.6货,47.6货,N/A,90.7货,3824货,288货,197货,N/A,N/A,N/A,N/A
2000/2/14,10140.65,10167.71,9963.5,9971.45,2047.05,2210.16,2036.37,381.68,362.36,19.32,5459货,10.8货,392货,381货,1.22窾,N/A,52.4窾,-2.65窾,7.33窾,5.80窾,9109,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.17货,4205货,81.2货,83.4货,N/A,-10.9货,-619货,60.0货,70.9货,N/A,-11.7货,248货,33.1货,44.8货,N/A,-24.8货,3799货,174货,199货,N/A,N/A,N/A,N/A
2000/2/15,9982.27,10014.25,9853.86,9957.74,1597.64,2129.24,1975.48,367.12,363.31,3.81,5495货,36.7货,310货,274货,1.48窾,N/A,48.6窾,-3.79窾,7.33窾,4.17窾,4324,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.0货,4228货,84.6货,61.6货,N/A,-29.6货,-648货,35.7货,65.3货,N/A,-6.98货,241货,23.6货,30.6货,N/A,-13.6货,3786货,144货,158货,N/A,N/A,N/A,N/A
2000/2/16,10010.87,10099.97,10010.87,10064.49,1821.88,2031.31,1952.28,360.63,362.77,-2.15,5532货,36.9货,366货,326货,1.86窾,N/A,53.0窾,4.38窾,3.62窾,9.20窾,1.10窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.6货,4251货,81.5货,59.0货,N/A,10.4货,-638货,67.3货,56.9货,N/A,-3.86货,237货,25.1货,29.0货,N/A,29.2货,3815货,174货,145货,N/A,N/A,N/A,N/A
2000/2/17,10089.89,10267.46,10089.89,10202.2,2411.93,2082.95,1987.52,361.84,362.59,-0.75,5602货,69.9货,492货,419货,2.01窾,N/A,55.8窾,2.81窾,3.89窾,7.59窾,9039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.0货,4273货,99.5货,77.5货,N/A,-11.9货,-650货,73.3货,85.3货,N/A,4616窾,238货,38.1货,37.7货,N/A,10.5货,3825货,211货,200货,N/A,N/A,N/A,N/A
2000/2/18,10266.79,10393.59,10062.23,10096.38,2597.71,2095.24,2100.93,356.4,361.35,-4.94,5616货,13.9货,532货,516货,1.23窾,N/A,54.4窾,-1.43窾,8.02窾,7.04窾,3309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.6货,4286货,59.4货,45.8货,N/A,-2.77货,-652货,67.3货,70.0货,N/A,-1.60货,236货,39.6货,41.2货,N/A,9.22货,3835货,166货,157货,N/A,N/A,N/A,N/A
2000/2/19,10084.29,10168.18,10031.92,10161.05,2138.36,2113.5,2161.83,345.57,358.19,-12.63,5679货,62.6货,438货,374货,1.36窾,N/A,57.9窾,3.55窾,5.83窾,9.88窾,3954,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2942窾,4286货,19.8货,20.1货,N/A,-24.4货,-677货,41.1货,65.5货,N/A,-6.25货,230货,27.1货,33.3货,N/A,-31.0货,3804货,87.9货,119货,N/A,N/A,N/A,N/A
2000/2/21,10165.24,10212.99,9912.67,9912.67,2479.06,2289.79,2209.51,321.75,350.9,-29.16,5697货,18.5货,493货,468货,2.34窾,N/A,55.8窾,-2.15窾,7.79窾,6.07窾,5107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.2货,4307货,87.7货,66.5货,N/A,-8.23货,-685货,63.3货,71.5货,N/A,-22.0货,208货,28.9货,50.9货,N/A,-9.00货,3795货,180货,189货,N/A,N/A,N/A,N/A
2000/2/22,9860.12,9917.13,9596.68,9731.93,1979.56,2321.32,2176.32,280.01,336.72,-56.72,5686货,-10.8货,376货,383货,1.74窾,N/A,47.1窾,-8.60窾,13.1窾,4.98窾,4192,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-14.4货,4293货,41.7货,56.1货,N/A,-15.6货,-701货,29.2货,44.8货,N/A,-18.2货,190货,28.4货,46.6货,N/A,-48.2货,3746货,99.2货,147货,N/A,N/A,N/A,N/A
2000/2/23,9738.19,9803.81,9623.46,9642.26,1623.34,2163.61,2123.28,238.81,317.14,-78.33,5668货,-18.2货,295货,299货,2.47窾,N/A,46.1窾,-1.09窾,5.58窾,5.25窾,3104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.64货,4301货,53.1货,45.4货,N/A,-9.21货,-710货,35.7货,44.9货,N/A,-6.06货,184货,19.0货,25.1货,N/A,-7.63货,3739货,108货,115货,N/A,N/A,N/A,N/A
2000/2/24,9725.3,9781.31,9582,9599.17,1621.49,1968.36,2031.8,200.82,293.88,-93.06,5677货,8.84货,304货,291货,2.37窾,N/A,45.0窾,-1.02窾,6.28窾,5.70窾,3283,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.99货,4308货,65.1货,58.1货,N/A,-36.0货,-746货,41.7货,77.7货,N/A,2.01货,186货,21.5货,19.4货,N/A,-27.0货,3712货,128货,155货,N/A,N/A,N/A,N/A
2000/2/25,9620.92,9639.12,9407.79,9432.49,1498.87,1840.47,1976.98,155.81,266.26,-110.46,5642货,-34.6货,271货,293货,3.46窾,N/A,39.9窾,-5.11窾,7.53窾,3.07窾,2216,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.9货,4322货,86.2货,71.3货,N/A,-12.3货,-758货,36.4货,48.7货,N/A,-12.4货,173货,21.2货,33.6货,N/A,-9.80货,3702货,144货,154货,N/A,N/A,N/A,N/A
2000/2/29,9525.65,9581,9410.11,9435.94,1150.07,1574.67,1932.23,117.79,236.57,-118.78,5614货,-28.7货,198货,222货,2.09窾,N/A,37.7窾,-2.23窾,5.53窾,3.82窾,2277,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.1货,4343货,78.4货,58.3货,N/A,13.1货,-745货,60.8货,47.7货,N/A,1.07货,174货,18.2货,17.1货,N/A,34.3货,3736货,157货,123货,N/A,N/A,N/A,N/A
2000/3/1,9572.24,9689.1,9572.24,9689.1,1323.63,1443.48,1882.4,102.15,209.68,-107.54,5628货,14.7货,249货,228货,2.20窾,N/A,39.9窾,2.25窾,3.72窾,6.29窾,1713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.9货,4358货,59.5货,43.6货,N/A,6.29货,-739货,58.9货,52.7货,N/A,9.02货,183货,27.6货,18.6货,N/A,31.2货,3767货,146货,115货,N/A,N/A,N/A,N/A
2000/3/2,9757.08,9781.27,9543.58,9543.82,1261.44,1371.1,1767.35,84.2,184.59,-100.39,5615货,-13.0货,234货,243货,2.18窾,N/A,40.6窾,7037,3.89窾,4.66窾,1203,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.6货,4397货,84.8货,46.3货,N/A,-9.16货,-748货,43.7货,52.9货,N/A,3.67货,187货,24.0货,20.4货,N/A,33.1货,3800货,153货,119货,N/A,N/A,N/A,N/A
2000/3/3,9557.66,9650.74,9547.4,9588.03,1187.18,1284.24,1626.3,68.42,161.35,-92.94,5621货,6.11货,216货,205货,1.84窾,N/A,42.5窾,1.87窾,3.65窾,5.72窾,2078,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.6货,4434货,68.6货,32.0货,N/A,-10.2货,-758货,34.2货,44.3货,N/A,1.09货,188货,14.8货,13.8货,N/A,27.5货,3828货,118货,90.1货,N/A,N/A,N/A,N/A
2000/3/4,9668.21,9712.24,9505.93,9517.97,1349.87,1254.44,1547.45,52.88,139.66,-86.78,5618货,-3.93货,264货,264货,1.33窾,N/A,41.4窾,-1.11窾,4.05窾,4.02窾,1.03窾,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21.3货,4455货,33.0货,11.7货,N/A,-17.2货,-775货,49.0货,66.2货,N/A,-3.30货,185货,21.3货,24.6货,N/A,8085窾,3829货,103货,103货,N/A,N/A,N/A,N/A
2000/3/6,9519.8,9519.8,9356.58,9367.91,1047.36,1233.89,1404.28,27.3,117.19,-89.89,5586货,-31.8货,180货,209货,1.42窾,N/A,38.1窾,-3.31窾,5.86窾,3.11窾,4581,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.4货,4477货,55.6货,33.1货,N/A,-25.9货,-801货,30.4货,56.3货,N/A,-5.91货,179货,11.4货,17.3货,N/A,-9.37货,3819货,97.4货,107货,N/A,N/A,N/A,N/A
2000/3/7,9340.49,9440.32,9286.39,9380.07,1425.51,1254.27,1348.88,4.45,94.64,-90.19,5591货,4.99货,245货,236货,1.83窾,N/A,37.2窾,-8414,4.77窾,4.19窾,2369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1货,4487货,82.0货,71.8货,N/A,-22.7货,-824货,66.5货,89.2货,N/A,-1.12货,178货,23.7货,24.8货,N/A,-13.7货,3806货,172货,186货,N/A,N/A,N/A,N/A
2000/3/8,9402.7,9482.18,9379.29,9389.49,1408.14,1283.61,1327.36,-10.45,73.62,-84.07,5596货,5.71货,259货,249货,1.83窾,N/A,39.5窾,2.27窾,3.11窾,5.57窾,1732,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.3货,4500货,67.9货,55.6货,N/A,13.8货,-810货,72.1货,58.4货,N/A,8476窾,179货,24.3货,23.5货,N/A,26.9货,3833货,164货,137货,N/A,N/A,N/A,N/A
2000/3/9,9453.7,9587.27,9453.7,9587.27,1818.12,1409.8,1347.02,-10.53,56.79,-67.32,5626货,29.8货,335货,303货,1.36窾,N/A,39.9窾,3923,4.39窾,4.90窾,1262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.1货,4514货,88.5货,74.3货,N/A,40.5货,-770货,102货,61.7货,N/A,-3.93货,175货,26.7货,30.6货,N/A,50.7货,3883货,217货,167货,N/A,N/A,N/A,N/A
2000/3/10,9662.61,9712.39,9428.99,9429.6,2140.32,1567.89,1411.16,-14.76,42.48,-57.24,5607货,-19.8货,387货,402货,1.80窾,N/A,40.5窾,6244,5.21窾,5.91窾,1667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.7货,4572货,137货,79.6货,N/A,36.3货,-733货,107货,71.0货,N/A,-10.3货,164货,22.5货,32.7货,N/A,83.8货,3967货,267货,183货,N/A,N/A,N/A,N/A
2000/3/13,9279.9,9279.9,8807.36,8811.95,1449.59,1648.34,1441.12,-63.56,21.27,-84.83,5489货,-118货,222货,334货,2.35窾,N/A,33.6窾,-6.94窾,7.40窾,7062,2461,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.7货,4620货,96.7货,47.9货,N/A,-8.76货,-742货,50.8货,59.6货,N/A,-21.1货,143货,16.7货,37.8货,N/A,18.9货,3986货,164货,145货,N/A,N/A,N/A,N/A
2000/3/14,8728.3,8871.83,8598.07,8835.58,1374.42,1638.12,1446.2,-112.44,-5.47,-106.97,5430货,-59.0货,203货,256货,2.61窾,N/A,30.0窾,-3.60窾,5.90窾,2.57窾,2055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4025窾,4621货,88.6货,88.2货,N/A,-16.5货,-758货,34.4货,50.9货,N/A,-17.1货,126货,17.1货,34.2货,N/A,-33.2货,3953货,140货,173货,N/A,N/A,N/A,N/A
2000/3/15,8794.3,8905.82,8638.24,8640.03,1296.96,1615.88,1449.75,-155.78,-35.53,-120.25,5331货,-98.9货,175货,265货,3.12窾,N/A,29.7窾,-2619,4.00窾,3.97窾,1147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-27.0货,4594货,72.1货,99.0货,N/A,12.7货,-746货,45.7货,33.0货,N/A,-12.8货,113货,18.2货,31.0货,N/A,-27.1货,3926货,136货,163货,N/A,N/A,N/A,N/A
2000/3/16,8472.54,8714.06,8250.46,8682.76,1469.4,1546.14,1477.97,-197.81,-67.99,-129.82,5199货,-132货,168货,292货,3.25窾,N/A,26.3窾,-3.40窾,6.16窾,2.95窾,1899,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-4.01货,4590货,72.4货,76.4货,N/A,-10.8货,-757货,26.4货,37.2货,N/A,-17.1货,96.4货,22.7货,39.7货,N/A,-31.9货,3894货,121货,153货,N/A,N/A,N/A,N/A
